,bicycle_boulevard,bicycle_lane,mixedtraffic,bicycle_path,bicycle_suggestion_lane,scooter_lane,scooter_path,next_to_busy_road,good_illumination,no_illumination,limited_illumination,good_surface_quality,bad_surface_quality,acceptable_surface_quality,asphalt_concrete,othe_surface,streettiles,street_bricks,semi_surfaced,unsurfaced,acceptable_hindrance,many_hindrance,little_hindrance,avg_violentcrimes,avg_totalcrimes,avg_lemon_day,avg_lemon_night,avg_speed,abs_accidents,abs_trafficlights,trafficlights_pkm,accidents_pkm,totlength,
count,"5,049","5,049","5,049","5,049","5,049","5,049","5,049","5,049","5,049","5,049","5,049","5,049","5,049","5,049","5,049","5,049","5,049","5,049","5,049","5,049","5,049","5,049","5,049","5,049","5,049","2,825","2,825","5,049","5,049","5,049","5,049","5,049","5,049",
mean,5.21,19.36,39.48,12.82,13.03,7.74,2.36,24.14,89.55,7.65,2.81,79.28,0.21,20.51,57.15,0.16,11.95,30.50,0.05,0.19,9.56,1.54,88.90,17.29,159.69,8.29,6.99,39.92,2.42,7.88,2.64,0.86,"4,564.09",
std,12.85,19.52,24.54,17.36,16.97,15.11,6.05,23.99,19.55,15.15,9.87,21.03,1.60,20.97,25.81,1.60,13.79,24.17,0.72,1.44,15.87,4.76,16.51,19.69,185.94,0.33,0.50,8.59,2.74,7.58,2.86,1.18,"4,885.68",
min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71,7,5.5,15.59,0,0,0,0,500.03,
25%,0,3.62,20.18,0,0,0,0,3.63,86.13,0,0,70.74,0,4.50,39.34,0,1.03,11.78,0,0,0,0,84.61,6.67,63.80,8.04,6.64,32.11,0,3,0.60,0,"1,295.52",
50%,0,14.45,37.18,3.20,7.22,0,0,16.64,100,0,0,85.11,0,14.62,61.59,0,7.72,24.56,0,0,2.92,0,95.27,11.37,110.97,8.24,6.94,38.25,2,7,1.83,0.39,"2,939.78",
75%,0,28.89,55.63,22.32,18.63,7.61,1.86,38.43,100,8.85,0,95.33,0,29.05,77.00,0,17.78,43.77,0,0,12.52,0,100,20.78,181.95,8.55,7.36,46.63,4,11,3.69,1.28,"6,347.49",
max,100,100,100,100,100,100,88.28,100,100,100,100,100,54.31,100,100,40.80,98.51,100,26.15,54.31,100,58.43,100,287.78,2690.66,9,8.5,74.78,37,114,23.90,9.63,"52,783.38",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s_bicycle_boulevard,s_bicycle_lane,s_mixedtraffic,s_bicycle_path,s_bicycle_suggestion_lane,s_scooter_lane,s_scooter_path,s_next_to_busy_road,s_good_illumination,s_no_illumination,s_limited_illumination,s_good_surface_quality,s_bad_surface_quality,s_acceptable_surface_quality,s_asphalt_concrete,s_other_surface,s_streettiles,s_street_bricks,s_semi_surfaced,s_unsurfaced,s_acceptable_hindrance,s_many_hindrance,s_little_hindrance,s_avg_violentcrimes,s_avg_totalcrimes,s_avg_lemon_day,s_avg_lemon_night,s_avg_speed,s_abs_accidents,s_abs_trafficlights,s_trafficlights_pkm,s_accidents_pkm,s_totlength,
